L-OTI(^S^o^N^C),Anomaly,vs,1951-1980,
i,j,lon,lat,"array(i,j)"
1,1,-179,-89,1.3814
2,1,-177,-89,1.3814
3,1,-175,-89,1.3814
4,1,-173,-89,1.3814
5,1,-171,-89,1.3761
6,1,-169,-89,1.3709
7,1,-167,-89,1.3709
8,1,-165,-89,1.3709
9,1,-163,-89,1.3709
10,1,-161,-89,1.3544
11,1,-159,-89,1.3544
12,1,-157,-89,1.3544
13,1,-155,-89,1.3544
14,1,-153,-89,1.3421
15,1,-151,-89,1.3298
16,1,-149,-89,1.3298
17,1,-147,-89,1.3298
18,1,-145,-89,1.3298
19,1,-143,-89,1.2927
20,1,-141,-89,1.2927
21,1,-139,-89,1.2927
22,1,-137,-89,1.2927
23,1,-135,-89,1.288
24,1,-133,-89,1.2833
25,1,-131,-89,1.2833
26,1,-129,-89,1.2833
27,1,-127,-89,1.2833
28,1,-125,-89,1.2833
29,1,-123,-89,1.2833
30,1,-121,-89,1.2833
31,1,-119,-89,1.2833
32,1,-117,-89,1.2833
33,1,-115,-89,1.2833
34,1,-113,-89,1.2833
35,1,-111,-89,1.2833
36,1,-109,-89,1.2833
37,1,-107,-89,1.2833
38,1,-105,-89,1.2833
39,1,-103,-89,1.2833
40,1,-101,-89,1.2833
41,1,-99,-89,1.1679
42,1,-97,-89,1.0525
43,1,-95,-89,1.0525
44,1,-93,-89,1.0525
45,1,-91,-89,1.0525
46,1,-89,-89,0.9226
47,1,-87,-89,0.9226
48,1,-85,-89,0.9226
49,1,-83,-89,0.9226
50,1,-81,-89,0.8752
51,1,-79,-89,0.8277
52,1,-77,-89,0.8277
53,1,-75,-89,0.8277
54,1,-73,-89,0.8277
55,1,-71,-89,0.7583
56,1,-69,-89,0.7583
57,1,-67,-89,0.7583
58,1,-65,-89,0.7583
59,1,-63,-89,0.7117
60,1,-61,-89,0.6651
61,1,-59,-89,0.6651
62,1,-57,-89,0.6651
63,1,-55,-89,0.6651
64,1,-53,-89,0.6504
65,1,-51,-89,0.6504
66,1,-49,-89,0.6504
67,1,-47,-89,0.6504
68,1,-45,-89,0.648
69,1,-43,-89,0.6457
70,1,-41,-89,0.6457
71,1,-39,-89,0.6457
72,1,-37,-89,0.6457
73,1,-35,-89,0.647
74,1,-33,-89,0.647
75,1,-31,-89,0.647
76,1,-29,-89,0.647
77,1,-27,-89,0.6503
78,1,-25,-89,0.6537
79,1,-23,-89,0.6537
80,1,-21,-89,0.6537
81,1,-19,-89,0.6537
82,1,-17,-89,0.6675
83,1,-15,-89,0.6675
84,1,-13,-89,0.6675
85,1,-11,-89,0.6675
86,1,-9,-89,0.6807
87,1,-7,-89,0.6938
88,1,-5,-89,0.6938
89,1,-3,-89,0.6938
90,1,-1,-89,0.6938
91,1,1,-89,0.7447
92,1,3,-89,0.7447
93,1,5,-89,0.7447
94,1,7,-89,0.7447
95,1,9,-89,0.8004
96,1,11,-89,0.8562
97,1,13,-89,0.8562
98,1,15,-89,0.8562
99,1,17,-89,0.8562
100,1,19,-89,1.0097
101,1,21,-89,1.0097
102,1,23,-89,1.0097
103,1,25,-89,1.0097
104,1,27,-89,1.1465
105,1,29,-89,1.2833
106,1,31,-89,1.2833
107,1,33,-89,1.2833
108,1,35,-89,1.2833
109,1,37,-89,1.1964
110,1,39,-89,1.1964
111,1,41,-89,1.1964
112,1,43,-89,1.1964
113,1,45,-89,0.9533
114,1,47,-89,0.7101
115,1,49,-89,0.7101
116,1,51,-89,0.7101
117,1,53,-89,0.7101
118,1,55,-89,0.3515
119,1,57,-89,0.3515
120,1,59,-89,0.3515
121,1,61,-89,0.3515
122,1,63,-89,0.2177
123,1,65,-89,0.084
124,1,67,-89,0.084
125,1,69,-89,0.084
126,1,71,-89,0.084
127,1,73,-89,-0.1141
128,1,75,-89,-0.1141
129,1,77,-89,-0.1141
130,1,79,-89,-0.1141
131,1,81,-89,-0.1846
132,1,83,-89,-0.2551
133,1,85,-89,-0.2551
134,1,87,-89,-0.2551
135,1,89,-89,-0.2551
136,1,91,-89,-0.3454
137,1,93,-89,-0.3454
138,1,95,-89,-0.3454
139,1,97,-89,-0.3454
140,1,99,-89,-0.3664
141,1,101,-89,-0.3875
142,1,103,-89,-0.3875
143,1,105,-89,-0.3875
144,1,107,-89,-0.3875
145,1,109,-89,-0.4108
146,1,111,-89,-0.4108
147,1,113,-89,-0.4108
148,1,115,-89,-0.4108
149,1,117,-89,-0.3736
150,1,119,-89,-0.3364
151,1,121,-89,-0.3364
152,1,123,-89,-0.3364
153,1,125,-89,-0.3364
154,1,127,-89,-0.2183
155,1,129,-89,-0.2183
156,1,131,-89,-0.2183
157,1,133,-89,-0.2183
158,1,135,-89,-0.1339
159,1,137,-89,-0.0495
160,1,139,-89,-0.0495
161,1,141,-89,-0.0495
162,1,143,-89,-0.0495
163,1,145,-89,0.1798
164,1,147,-89,0.1798
165,1,149,-89,0.1798
166,1,151,-89,0.1798
167,1,153,-89,0.3327
168,1,155,-89,0.4856
169,1,157,-89,0.4856
170,1,159,-89,0.4856
171,1,161,-89,0.4856
172,1,163,-89,0.894
173,1,165,-89,0.894
174,1,167,-89,0.894
175,1,169,-89,0.894
176,1,171,-89,1.1406
177,1,173,-89,1.3873
178,1,175,-89,1.3873
179,1,177,-89,1.3873
180,1,179,-89,1.3873
1,2,-179,-87,1.3814
2,2,-177,-87,1.3814
3,2,-175,-87,1.3814
4,2,-173,-87,1.3814
5,2,-171,-87,1.3761
6,2,-169,-87,1.3709
7,2,-167,-87,1.3709
8,2,-165,-87,1.3709
9,2,-163,-87,1.3709
10,2,-161,-87,1.3544
11,2,-159,-87,1.3544
12,2,-157,-87,1.3544
13,2,-155,-87,1.3544
14,2,-153,-87,1.3421
15,2,-151,-87,1.3298
16,2,-149,-87,1.3298
17,2,-147,-87,1.3298
18,2,-145,-87,1.3298
19,2,-143,-87,1.2927
20,2,-141,-87,1.2927
21,2,-139,-87,1.2927
22,2,-137,-87,1.2927
23,2,-135,-87,1.288
24,2,-133,-87,1.2833
25,2,-131,-87,1.2833
26,2,-129,-87,1.2833
27,2,-127,-87,1.2833
28,2,-125,-87,1.2833
29,2,-123,-87,1.2833
30,2,-121,-87,1.2833
31,2,-119,-87,1.2833
32,2,-117,-87,1.2833
33,2,-115,-87,1.2833
34,2,-113,-87,1.2833
35,2,-111,-87,1.2833
36,2,-109,-87,1.2833
37,2,-107,-87,1.2833
38,2,-105,-87,1.2833
39,2,-103,-87,1.2833
40,2,-101,-87,1.2833
41,2,-99,-87,1.1679
42,2,-97,-87,1.0525
43,2,-95,-87,1.0525
44,2,-93,-87,1.0525
45,2,-91,-87,1.0525
46,2,-89,-87,0.9226
47,2,-87,-87,0.9226
48,2,-85,-87,0.9226
49,2,-83,-87,0.9226
50,2,-81,-87,0.8752
51,2,-79,-87,0.8277
52,2,-77,-87,0.8277
53,2,-75,-87,0.8277
54,2,-73,-87,0.8277
55,2,-71,-87,0.7583
56,2,-69,-87,0.7583
57,2,-67,-87,0.7583
58,2,-65,-87,0.7583
59,2,-63,-87,0.7117
60,2,-61,-87,0.6651
61,2,-59,-87,0.6651
