Reference area,AT:Austria,AU:Australia,BE:Belgium,CA:Canada,CH:Switzerland,DE:Germany,DK:Denmark,ES:Spain,FI:Finland,FR:France,GB:United Kingdom,GR:Greece,HK:Hong Kong SAR,IE:Ireland,IT:Italy,JP:Japan,KR:Korea,NL:Netherlands,NO:Norway,NZ:New Zealand,PT:Portugal,SE:Sweden,SG:Singapore,TW:Chinese Taipei,US:United States,XM:Euro area,AT:Austria,AU:Australia,BE:Belgium,CA:Canada,CH:Switzerland,DE:Germany,DK:Denmark,ES:Spain,FI:Finland,FR:France,GB:United Kingdom,GR:Greece,HK:Hong Kong SAR,IE:Ireland,IT:Italy,JP:Japan,KR:Korea,MX:Mexico,NL:Netherlands,NO:Norway,NZ:New Zealand,PT:Portugal,SE:Sweden,SG:Singapore,TW:Chinese Taipei,US:United States,XM:Euro area
1963-10,65.41,183.03,84.16,122.45,34.56,40.65,98.32,243.15,176.08,126.57,195.29,1063.44,176.78,182.44,334.93,27.81,1237.85,63.14,99.04,227.56,580.07,171.08,70.6,111.45,127.82,94.58,81.62,123.25,102.28,122.64,72.88,100.34,82.4,70.54,126.97,122.01,114.11,109.45,122.32,87.78,115.72,50.46,184.01,103.63,79.74,86.27,105.15,71.49,144.49,161.36,119.79,140.52,91.67
1963-11,65.33,183.03,84.27,122.48,34.54,40.67,98.32,243.1,176.02,126.55,195.22,1063,176.77,182.4,335.03,27.8,1237.87,63.15,98.99,227.56,579.85,171.13,70.6,111.45,127.81,94.63,82.34,123.36,102.72,123.45,73.12,100.39,82.25,71.21,126.9,122.12,113.83,108.42,121.49,88.45,115.43,50,188.51,103.6,79.57,86.74,105.55,73.38,144.68,158.93,118.48,140.43,92.09
1963-12,65.38,183,84.3,122.3,34.55,40.69,98.36,243.1,176.03,126.54,195.15,1062.98,176.82,182.36,335.02,27.77,1238.36,63.14,99.02,227.65,579.63,171.03,70.62,111.49,127.88,94.68,82.09,122.81,102.99,122.72,72.8,100.7,81.97,71.12,126.44,121.78,114.04,108.51,120.73,88.06,115.45,49.96,196.76,103.19,79.93,87,105.25,71.86,144.27,158.39,117.48,140.19,92.11
1964-01,65.41,183.07,84.33,122.18,34.55,40.66,98.23,243.11,176.02,126.53,195.26,1063.04,176.78,182.42,335.04,27.8,1237.95,63.12,98.99,227.56,579.87,171.24,70.6,111.46,127.88,94.63,82.58,122.81,102.97,122.37,72.52,100.62,81.63,70.7,130.52,121.62,113.54,107.93,120.11,87.38,116,49.69,207.19,106,80.64,88.64,104.9,71.04,144.13,158.14,117.23,139.31,92.37
1964-02,65.37,183.02,84.32,122.22,34.48,40.71,98.13,243.08,176.02,126.55,195.21,1063.12,176.82,182.39,334.83,27.78,1238.27,63.07,98.94,227.62,579.71,171.43,70.62,111.49,127.9,94.67,82.54,122.69,102.66,122.23,72.33,100.8,81.56,70.57,131.17,121.35,113.24,107.66,123.44,87.54,116.03,49.33,221.4,104.02,80.41,89.06,104.75,71.96,144.41,157.86,117.02,138.88,92.3
1964-03,65.37,183.02,84.32,122.14,34.46,40.69,98.25,243.1,175.85,126.57,195.24,1063.31,176.78,182.41,334.16,27.81,1237.79,63.06,98.92,227.52,579.7,172.66,70.6,111.45,127.87,94.57,82.33,122.73,102.05,122.05,72.13,100.48,81.68,70.61,132.23,121.07,113.83,108.2,119.22,88.25,116.1,49.45,225.68,104.85,81.11,88.77,104.67,72.85,145.5,157.53,116.4,138.46,92.22
1964-04,65.4,183.13,84.39,122.11,34.52,40.69,98.32,243.15,175.84,126.6,195.31,1063.69,176.8,182.45,333.51,27.79,1238.11,63.01,99,227.53,580,172.86,70.61,111.47,127.9,94.53,82.53,122.49,101.86,122.55,72.37,99.72,81.85,70.56,132.58,120.78,114.21,107.69,116.72,89.47,115.83,49.93,229.13,104.26,84.38,89.13,104.5,71.95,144.96,155.94,115.06,137.69,92.12
1964-05,65.72,187.98,84.77,123.58,34.78,41.04,99.01,244.6,177.08,127.39,197.02,1072.12,184.05,183.21,335.79,29.34,629.29,63.31,99.76,231.26,581.87,174.49,72.93,113.93,132.38,96.22,83.64,125.7,102.73,123.84,73.22,100.43,82.81,71.1,134.42,121.39,115.89,108.38,123.05,90.8,116.84,52.64,121.72,105.42,82.38,89.59,106.27,71.58,146.49,156.89,117.76,141.65,93.34
1964-06,65.74,187.66,84.68,123.58,34.8,41.07,98.96,244.63,177.13,127.44,196.73,1072.34,184.08,183.02,335.88,29.34,629.37,63.2,99.74,231.4,581.04,174.58,72.94,113.95,132.41,96.24,84.93,125.98,103.55,123.63,72.9,99.76,83,71.86,134.53,121.43,116.24,108.08,124.3,90.98,117.99,52.52,116.06,105.04,82.01,89.29,106.72,71.69,146.61,158.39,116.77,142.37,93.67
1964-07,65.78,187.4,84.8,123.55,34.75,41.06,98.92,244.64,177.2,127.46,196.42,1072.52,184.11,182.82,335.95,29.35,629.44,63.28,99.7,231.53,580.34,174.4,72.95,113.96,132.44,96.32,85.16,126.31,104.29,124.07,72.58,99.72,82.86,73.22,134.33,121.41,115.65,106.99,125.39,90.73,118.33,52.32,112.85,104.91,81.85,90.32,107.16,71.21,146.39,159.72,115.84,142.76,94.18
