"Jun-Jul-Aug_2010_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              ",,,,
"i","j","lon","lat","array(i,j)"
1,1,-179,-89,0.29
2,1,-177,-89,0.29
3,1,-175,-89,0.29
4,1,-173,-89,0.29
5,1,-171,-89,0.29
6,1,-169,-89,0.29
7,1,-167,-89,0.29
8,1,-165,-89,0.29
9,1,-163,-89,0.29
10,1,-161,-89,0.29
11,1,-159,-89,0.29
12,1,-157,-89,0.29
13,1,-155,-89,0.29
14,1,-153,-89,0.29
15,1,-151,-89,0.29
16,1,-149,-89,0.29
17,1,-147,-89,0.29
18,1,-145,-89,0.29
19,1,-143,-89,0.29
20,1,-141,-89,0.29
21,1,-139,-89,0.29
22,1,-137,-89,0.29
23,1,-135,-89,0.29
24,1,-133,-89,0.29
25,1,-131,-89,0.29
26,1,-129,-89,0.29
27,1,-127,-89,0.29
28,1,-125,-89,0.29
29,1,-123,-89,0.29
30,1,-121,-89,0.29
31,1,-119,-89,0.29
32,1,-117,-89,0.29
33,1,-115,-89,0.29
34,1,-113,-89,0.29
35,1,-111,-89,0.29
36,1,-109,-89,0.29
37,1,-107,-89,0.29
38,1,-105,-89,0.29
39,1,-103,-89,0.29
40,1,-101,-89,0.29
41,1,-99,-89,0.29
42,1,-97,-89,0.29
43,1,-95,-89,0.29
44,1,-93,-89,0.29
45,1,-91,-89,0.29
46,1,-89,-89,0.29
47,1,-87,-89,0.29
48,1,-85,-89,0.29
49,1,-83,-89,0.29
50,1,-81,-89,0.29
51,1,-79,-89,0.29
52,1,-77,-89,0.29
53,1,-75,-89,0.29
54,1,-73,-89,0.29
55,1,-71,-89,0.29
56,1,-69,-89,0.29
57,1,-67,-89,0.29
58,1,-65,-89,0.29
59,1,-63,-89,0.29
60,1,-61,-89,0.29
61,1,-59,-89,0.29
62,1,-57,-89,0.29
63,1,-55,-89,0.29
64,1,-53,-89,0.29
65,1,-51,-89,0.29
66,1,-49,-89,0.29
67,1,-47,-89,0.29
68,1,-45,-89,0.29
69,1,-43,-89,0.29
70,1,-41,-89,0.29
71,1,-39,-89,0.29
72,1,-37,-89,0.29
73,1,-35,-89,0.29
74,1,-33,-89,0.29
75,1,-31,-89,0.29
76,1,-29,-89,0.29
77,1,-27,-89,0.29
78,1,-25,-89,0.29
79,1,-23,-89,0.29
80,1,-21,-89,0.29
81,1,-19,-89,0.29
