"year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Average"
1876,1.6,3.4,8.1,12.2,16.9,18.4,24.3,26.7,22.6,14.8,9.1,4.8,13.6
1877,2.9,3.3,6,13.5,16.4,21.9,26.2,25.7,21.1,15.6,9.3,5.7,14
1878,2.1,2.2,7,11.4,18,19.9,25.9,24.4,22.6,15.5,9.5,5,13.6
1879,3.1,5.2,7.9,12.2,17.9,21.4,26.1,26.5,21,14.7,9.4,7.8,14.4
1880,2.3,5.6,8.2,12.1,17.4,19.7,24.1,25.3,22.1,16.4,9.9,3.6,13.9
1881,2,3.4,5.1,11.3,17,21.2,23.8,26.5,22.4,15.5,10.8,4.1,13.6
1882,4.5,5.1,6.7,13.4,16.6,20.3,24.3,24.7,20.9,15.2,9.5,4.6,13.8
1883,3.1,1.9,5.4,12.1,15.4,19.7,23.5,24.9,21.7,16.7,9.9,4.8,13.3
1884,2.5,2.8,6.1,11.7,15.4,19.7,23.3,23.8,22.1,15.6,7.5,3.3,12.8
1885,0.7,2.2,4.8,10.7,15.1,20.3,23,25.3,21.9,16,10.5,5.6,13
1886,2.4,2.1,7,12.4,16.4,20.8,25,26.6,23.3,16.7,10.2,4.7,14
1887,2.7,4.3,7,12.3,15.2,20.3,23.6,25.3,21.1,16.6,11.6,5.8,13.8
1888,3.3,2.2,7.3,12.5,16,18.6,24.6,25.6,21,15.1,11.4,5.2,13.6
1889,2.1,3.1,6.9,12,15.7,20.9,23.4,25.8,20.4,14.6,9.7,4.9,13.3
1890,3.4,6.1,9.2,14.2,16.1,22,23.5,25.4,24.2,16,10.8,9.3,15
1891,2.4,3.8,8.9,12,18.2,20.3,24.9,25.5,24.3,16.5,10.4,5.6,14.4
1892,3.7,4.1,5.1,13.1,16.6,21.1,25.7,26.4,23,16.5,9.8,3.3,14
1893,2.6,2.2,6.2,13.3,15.8,20.4,25.3,26.2,22.5,15.9,10.1,4.7,13.8
1894,3,3.7,8.4,13.8,16.3,23.6,26.8,27,21.9,15.4,11.5,5.8,14.8
1895,2.1,4,6.9,12.9,17.5,20.4,22.1,25.5,22.9,16.5,9.9,5.4,13.8
1896,3.3,3.5,6,13.7,16.6,21.6,24.1,25.9,22.3,15.8,10.7,4.8,14
1897,3.7,3.5,5.7,11.3,17.3,18.8,22.9,25,20.9,15.2,10.1,3.7,13.2
1898,3.6,4.4,5.5,11.2,16.7,19.2,25.9,26.1,21.6,16,10.9,6.4,14
1899,3.2,4.2,8.5,12.8,17.9,21.5,23.2,26.1,19.8,14.3,8.9,5.4,13.8
1900,1.6,3.1,5.7,11.4,17.3,19.3,22.7,26.1,22.6,16.5,11,5.5,13.6
1901,4.1,3.7,7.3,13.4,16.1,20.6,22.1,25.1,22.3,16.8,10.2,4.5,13.9
1902,2.4,3.8,8.4,11.6,16.3,19.8,21.8,22.8,22.6,16.6,11.5,7.1,13.7
1903,4.6,4.1,7.7,12.7,15.9,19.7,23.2,25.7,22.3,15.2,9.1,4.1,13.7
1904,1.9,4.3,6.1,13.2,15.7,21.8,24.8,25.1,21.2,16.4,9.1,5.2,13.7
1905,4.3,2.7,5.6,10.9,16.9,20.8,23.3,22.2,21.9,16.2,10.3,6.8,13.5
1906,2.2,2.6,7.3,12.9,16.3,18.4,23.5,24.5,19.7,15.1,9.3,5.9,13.1
1907,4,2.9,5.7,12.4,17.1,19.2,22.7,25.8,21.3,15.2,11.2,4.5,13.5
1908,3.2,3.4,6.2,12.3,16.1,20.9,22.1,25.4,19.3,16.1,9.1,4.6,13.2
1909,2,3.1,6.3,13.6,16.9,20.3,24.3,25.2,21.8,14.8,10,4.6,13.6
1910,4.2,2.9,6.1,12.3,16.8,20.7,23,24.1,20.9,16.1,10.4,4.3,13.5
1911,2.5,5.1,8.2,13.8,16.2,20.8,24.5,25.6,22.6,15.8,12.8,5,14.4
1912,3,6.1,8.1,13,16.7,20.1,24.3,25.2,20.2,15.9,9.4,4.7,13.9
1913,1.9,4.5,6.1,13.7,16.1,20.3,23.3,23.8,20,15.6,10,5.2,13.4
1914,4.3,3.5,8.8,11.8,17.8,21.5,25.5,26.4,22.5,16.1,11.9,5.8,14.7
1915,3.2,4.1,6.6,11.6,15.9,21.9,24.2,25.7,22.7,17.6,11.1,5.6,14.2
1916,5.1,4.1,5.8,12.7,16.9,22.6,23.9,25,23.7,15.8,11.3,6.8,14.5
1917,2.3,4.5,6.4,12.7,15.8,19.6,25.7,25,22,16.8,8.7,4,13.6
1918,1.6,3.6,6.7,11.7,16.7,20.1,26,26.1,22.6,16,10.4,3.9,13.8
1919,2.8,3.7,8.3,13.4,16.2,19.9,23.6,25,22.7,16.4,11.4,5.3,14.1
1920,4.1,2.6,6.6,12.6,16.8,20.3,26.1,25.7,21.4,16.4,12,5.2,14.2
1921,4,3.5,6.2,13.8,16.4,18.8,24.4,25.3,21.3,15.4,9.3,5,13.6
1922,0.6,7,6.6,13.3,16.9,21.7,25,27.3,23.4,16.8,10.8,4,14.5
1923,1.8,3,7.9,12,16.8,20.4,24,27.2,23.4,16.8,12,5.6,14.2
1924,2.7,4.5,5,14.7,16.9,19.4,26.1,26.2,21.8,13.4,9.9,5.2,13.8
1925,2.9,2.4,6.2,11.9,16.1,20.1,23.2,25.7,22.9,16.3,11.4,6.8,13.8
1926,3.1,4.6,6.3,11.1,16.3,19,24.5,26.3,23.2,15,9.8,4.1,13.6
1927,2.7,2.1,6.3,13.5,17.1,20.5,26,26.6,21.2,16.7,11.2,6.8,14.2
1928,3.5,3.3,6.9,12.5,17.8,20.3,23.4,24.1,23.9,16.8,11.6,5.4,14.1
1929,2.6,2.9,7.1,12.6,15.9,20.6,25.9,27.1,20.5,16.5,11,8.6,14.3
1930,3.8,5.3,8.8,14,17.7,21.5,26.3,26.8,21.5,16.7,10.3,5.1,14.8
1931,2.9,2.5,7.9,12.4,16.3,20.4,21.8,26.4,22.5,16.3,11.5,6.9,14
1932,5.9,4.4,6.9,12.3,18,19.8,25.7,26.7,21.8,16.5,10.9,6,14.6
1933,3.2,3.6,5.8,12.3,18,21.9,26.6,27.5,23.1,16.8,11.2,6.2,14.7
1934,2.5,4,6.1,11.5,17.8,22,23.9,26.1,21.6,14.6,10.8,5.9,13.9
1935,3.7,4.8,7.2,12.5,16.7,21.5,24.4,24.8,20.8,17.1,10.7,5.5,14.1
1936,2,2.5,6.1,12,16.4,21.4,24.9,26.5,24.2,16,11.2,6.2,14.1
1937,4.6,5.7,8.1,12.8,17.6,19.6,26.3,28.2,22.7,16.3,11.2,5.2,14.9
1938,2.7,3.4,8.8,13.2,18.4,20.8,25,26,22.4,16.7,10.8,5.8,14.5
1939,2.4,4.1,7.4,12.7,17,20.7,26.5,25.8,23.7,17.9,12.3,5.3,14.7
1940,2.7,3.7,8.2,13.1,17.7,22.1,26.9,24.9,21.7,17.8,12.3,6.2,14.8
1941,4.8,5,8.2,12.7,17.6,20.7,23.7,25.4,20.6,17.3,11.7,6.9,14.6
1942,2.9,2.6,10.3,13.6,17.3,22.2,27.5,27,24.9,16.4,10.1,5.5,15
1943,2.4,4,6.8,11.7,17.8,21.5,25.1,27.4,24.4,17.2,10.8,5.7,14.6
1944,3,3.2,5.6,10.6,17.7,22.3,25.6,27.5,23.2,16.3,10.9,4.3,14.2
1945,1.1,1.6,6.6,13.5,15.6,20.4,22,26.7,22.4,16.8,11.3,4.8,13.6
1946,3.4,4.2,6.2,14.3,16.8,23.3,26.2,26.7,23.1,17.3,12.4,4.7,14.9
1947,3.5,2.7,6.8,13.1,16.9,19.2,25.7,28,22.9,15.6,10.3,4.1,14.1
1948,4,5.1,6.5,14.2,18.1,21.6,26,25.4,23.8,17.4,11.9,7.9,15.2
1949,5.4,6.5,6.7,12.1,18.4,19.4,25.3,26.6,22.4,16.1,10,6,14.6
1950,5,4.7,7.7,13.9,19.2,21.8,26.5,26.2,23.8,15.8,11.1,5.4,15.1
1951,3.3,4.5,8.8,13.3,18,21.2,24.3,26.7,20.7,17.3,11.4,7.3,14.7
1952,4.3,2.6,7.4,13.3,18.1,21.3,24.3,26.8,22.7,17.3,12,5.3,14.6
1953,3.3,4.2,9.4,12.7,17.8,20.6,24.7,25,22.2,17.2,10.4,7.5,14.6
1954,4.2,5.6,8.4,14.9,17.6,18.3,22.3,27,24.6,15.5,11.7,7.1,14.8
1955,3.8,6.2,8.7,13.6,18.2,22.7,27.6,26.3,22.3,17.6,11,7.9,15.5
1956,4.2,4.3,8.6,13.1,17.6,22.3,24.2,25.4,22.7,17.3,11.8,5,14.7
