"year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Average"
1876,6.6,8.2,13.6,17.4,21.7,22.8,28.6,31.6,26.8,20.3,15.8,11,18.7
1877,8.8,8.7,11.3,19.1,21.5,26,31.1,30.5,25.7,21.3,14.4,10.2,19.1
1878,7.2,7.1,12.9,16.2,22.7,24.1,29.8,28.5,26.3,20.2,14.2,10.8,18.3
1879,9,10.9,13,17.1,21.9,25.2,30.4,31.2,25.4,19.3,15.7,14.1,19.4
1880,8.8,10.1,13.8,16.7,22.6,23.9,27.9,29.6,27,21.6,16.8,11.1,19.2
1881,8.9,9.4,10.5,16.9,22.4,25.7,27.9,31.1,26.2,20.7,16.6,9.6,18.8
1882,10.2,9.6,12.5,18.4,21.7,24,28.2,28.5,24.8,20,14.8,10.8,18.6
1883,8.6,5.8,10.2,16.6,19.9,23.6,27.2,29.3,25.6,20.5,15.4,11.1,17.8
1884,8.4,8.1,10.7,16.2,20.2,23.6,27,28.1,26.5,20.6,12.9,9.5,17.7
1885,5.7,7.2,10,14.8,19.3,23.4,26.6,29,26,20.5,15.6,11.3,17.5
1886,8.2,7.3,12,16.9,20.3,25.1,29.3,31.2,26.9,21,15.6,11,18.7
1887,6.2,9.8,12.8,17.3,19.2,24.1,27.4,29.3,25.4,21.4,17.5,12.7,18.6
1888,9.8,7.4,13.1,17.5,20.4,22.8,28.3,29.7,25.1,20,16.4,11,18.5
1889,7.5,8.4,12.2,16.3,20.3,25,26.9,30,24.1,19.6,14.8,10.6,18
1890,8.6,11.1,13.2,18.7,19.9,26,27.3,29,28.3,20.3,16.2,14.7,19.4
1891,8.8,8.6,13.7,16.6,23.4,24.2,28.7,29.6,28.4,21.8,16,11.9,19.3
1892,9,9,9.9,17.9,21.1,24.1,29.7,31.1,26.8,20.3,15,9.3,18.6
1893,8.5,6.9,11.8,18.2,20.1,24.6,30.2,30.6,26.9,20.3,15.8,11.1,18.8
1894,8.2,9.3,13,18.6,20.9,28.1,31.6,31.5,25.5,19.5,17.2,11.7,19.6
1895,7.7,9.4,11.9,18.2,22.2,24.5,25.7,29.7,27.1,20.9,15.2,11.4,18.7
1896,9.3,8.5,10.9,18.2,20.8,25.7,28.1,30.4,26.2,20.1,16.1,10.3,18.7
1897,8.1,8.4,10.1,15.7,21.9,22.9,26.6,29.2,24.8,20.2,15.1,10,17.8
1898,7.9,9.3,10.1,16,21.3,23.2,30.3,30.6,25.6,20.7,15.7,11.3,18.5
1899,8.9,9.2,13.6,17.8,22.7,25.8,26.9,30.3,23.5,19.7,14.6,10.3,18.6
1900,6,8.2,10.8,15.7,22.3,24,26.5,30.5,26.9,21.6,16.3,11.5,18.4
1901,9,9.5,12.9,18.1,20.8,24.6,26,29.9,26.7,21.2,15.7,10.7,18.8
1902,8.6,9.1,13.5,16.9,20.7,24.1,25.6,26.2,26.4,21.3,16.3,11.5,18.4
1903,9.1,8.9,12.1,17.2,20.6,24.2,26.9,31,26.5,18.9,14,9.2,18.2
1904,7.2,9,10.3,17.6,19.8,25.9,28.7,29.9,25.3,20.3,15.1,10.3,18.3
1905,9.2,7.7,10.4,15.6,21.1,24.1,27.3,25.7,25.9,20.3,14.9,11.2,17.8
1906,7.1,6.2,12.1,17.9,21,22.1,27,28.6,23.2,19.3,14.1,12,17.6
1907,8.4,8,10.6,17.3,21.9,22.9,26.6,29.6,24.7,20.1,15.3,9.9,17.9
1908,8.3,8.6,10.7,16.9,20.7,24.9,25.9,29.5,23.2,20.6,14.8,10.2,17.9
1909,6.1,8.7,10.3,18.9,21.5,23.8,28.3,29.7,25.3,19.4,15.8,10.2,18.2
1910,8.4,8.1,11.1,16.9,21.4,24.6,26.4,27.8,24.4,19.3,16,9.7,17.8
1911,6.8,10.1,13,18.5,21.2,24.6,28.5,29.7,26.7,20.1,17.7,10.1,18.9
1912,8.7,11.5,12.9,18,21.6,24.5,28.5,30.1,23.8,20.7,13.9,9.6,18.7
1913,7.5,9.5,11.9,18.8,21.4,24.9,27.8,28.9,24.5,19.7,15.3,11,18.4
1914,10.8,8.6,13.9,17.5,22.3,25.5,30,31.3,26.5,21.5,17.1,11.7,19.7
1915,8.1,8.6,11.8,16.7,20.7,26,28.8,29.7,26.6,21.8,15.6,11.8,18.9
1916,11.4,9.2,11,17.6,21.8,27.1,28.1,29.2,28.2,19.8,15.9,11.3,19.2
1917,8.4,10.4,11.3,17.7,20.8,23.5,30.3,29.5,25.4,20.6,13.9,10.4,18.5
1918,7.3,8.8,11.6,16.5,21.4,23.7,30.2,30.6,27.2,20.1,15.1,8.7,18.4
1919,7.4,7.9,13.7,18.6,21,24.2,27.5,29.3,26.8,20.9,15.2,10.5,18.6
1920,10.1,6.6,11,17.4,21.3,24.1,30.6,29.3,25.5,21,17,10.3,18.7
1921,9.4,9.2,11.5,18.7,20.8,22.5,28.4,29.2,24.7,19.5,16,10.4,18.4
1922,5.5,12,12.1,18.3,21.8,26.6,29.2,32.2,27.9,22.4,16.5,9.9,19.5
1923,6.9,7.6,13.1,16.9,20.8,24,27.8,31.7,28.6,21.3,16.7,10.7,18.8
1924,8.8,9.8,10.2,19.1,21.9,23.6,30.8,30.7,25.9,19.5,16.1,10.4,18.9
1925,7.9,6.9,12.2,16.8,21.2,24.2,27.1,29.7,26.6,20.7,16.5,12.6,18.5
1926,9,9.8,11.2,17.1,21,23.8,28.9,30.8,27.3,19.9,15.6,9.2,18.6
1927,8.4,7,11.3,18.2,21.9,25.1,30.3,31.4,24.9,21,16.5,10.7,18.9
1928,8.8,8.7,12,17.2,21.8,23.5,26.6,27.7,27.9,20.6,16.5,10,18.4
1929,8.2,8.8,12.4,16.8,19.7,24.7,29.8,31.4,24.3,20.2,14.8,12.8,18.7
1930,8.4,9.6,13,18.7,22.2,25.1,30,30.6,26.2,21.3,15.6,10.1,19.2
1931,7.8,6.4,13.6,17.5,21,24.3,25.1,30.4,26.4,21,15.9,12.1,18.5
1932,11.5,9.2,12.2,16.9,22.6,23.4,29.4,30.6,25.3,20.7,16.1,11.1,19.1
1933,7.6,8.5,9.6,16.2,23.1,26,30.7,31.6,27.8,21.5,16.3,11.7,19.2
1934,8.3,9.7,11.4,16.1,22.5,26.3,27.5,30.4,25.1,18.5,15.9,10.6,18.5
1935,8.9,9.4,12.5,17.3,21.3,25.8,28.3,28.2,24.3,22.1,15.6,10.8,18.7
1936,9.8,6.8,11.1,16.9,20.5,25.1,28.9,30.8,28.5,20.1,15.4,11.4,18.8
1937,9.2,10.4,13.2,17.6,22.1,23.4,29.8,32.8,26.9,20.6,15.9,11.1,19.4
1938,8.2,8.2,13.2,18.3,22.7,24.8,29.1,29.7,26.4,20.9,16.4,10.7,19.1
1939,7.2,9.1,12.6,17.3,20.9,24.7,30.7,29.8,27.7,22.1,16.9,11.1,19.2
1940,8.9,8.9,13.3,18,23,26.8,31.8,29,26.2,22.2,16.7,11.5,19.7
1941,10.6,10.5,12.9,17.3,21.9,24.3,27.4,29.2,24.2,22.5,16.2,11.9,19.1
1942,8.8,7.2,15.8,18.8,22.1,26.3,31.9,31.3,29.1,21.4,15.4,10.8,19.9
1943,8,9.4,11.9,16.8,22.5,25.6,29,31.9,28.4,21.3,16.2,11.4,19.4
1944,8.7,8.8,10.8,15.7,22.5,27,30.3,32.1,27.6,20.4,15.5,10.4,19.2
1945,7.4,6.9,11.8,19.8,20.7,24.6,26.1,31.3,26.5,20.9,16.8,11.1,18.7
1946,9.3,9.5,10.7,19.6,21.2,28.7,30.8,31.4,28,22,17.1,10.4,19.9
1947,8,8.9,11.9,19,21.7,22.8,30.5,33.3,27.1,19.8,15.7,9.6,19
1948,10.1,10.6,11.3,18.6,22.5,25.6,30.6,29.7,28.2,21.8,17,13.1,19.9
1949,11.7,11.5,11.9,17.4,23.4,23.1,29.5,31.4,27,20.3,14.5,10.6,19.4
1950,10.1,9.5,13.6,18.8,24,25.4,31,30.4,28.6,20.2,15.9,11.2,19.9
1951,8.6,9.7,14.2,18.3,23.3,25.9,28.3,31.6,24.7,21.7,16.8,13.4,19.7
1952,9.7,6.8,12.1,18.3,23.2,25.5,28.2,31.4,26.9,21.8,16.5,10.6,19.3
1953,8.7,9.7,14.6,17.6,22.3,24.6,28.3,28.9,26.1,21.7,15.7,12.1,19.2
1954,8.6,11.6,13.1,19.4,21.8,21.6,25.7,31,28.5,19.7,16.5,11.9,19.1
1955,9.6,12.1,12.7,17.9,22.5,26.8,31.8,30.2,26.4,21.7,16.4,13.8,20.2
1956,9.8,9.8,13.4,17.9,21.8,26.1,28.1,29.7,26.8,20.8,16.1,11,19.3
1957,11,8.7,12.4,18.7,21.3,23.4,27.8,31.2,24.4,21.7,17.7,12.8,19.3
1958,10.1,11.1,13.5,18.6,23,26.4,28.9,29.7,27.3,19.7,15.4,13.3,19.8
1959,8.9,12,13.6,20.2,23.2,24.4,29.9,30.7,28.2,21.9,16.7,12.3,20.2
1960,10.6,12.7,14.6,17.2,22.3,25.3,29.8,30.4,27.8,21.1,16.5,12.4,20.1
1961,8.9,10.2,13.4,20.1,24.2,26.8,31.9,31.2,29.8,21.8,17.8,12.7,20.7
1962,9.8,11.7,13.7,19.2,22.9,24.7,28.8,32.9,29.2,20.9,15.4,12.3,20.1
1963,9.3,10.3,12.6,19.1,22.7,25.9,30.1,30.9,25.3,20.4,16.7,13.1,19.7
