"year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Average"
1876,-2.8,-1.3,2.2,6.4,11.6,13.7,19.3,21,18.4,9.3,2.8,-0.7,8.3
1877,-2.1,-1.7,0.3,7.1,11.1,17.4,21.5,21.1,16.5,9.7,4.4,1.8,8.9
1878,-1.6,-1.8,1.7,7.1,13.2,15.8,22.3,21.2,19.4,11.6,5.9,0,9.6
1879,-1.4,0.6,2.9,7,14.1,18.1,22.3,22.5,17.2,10.8,3.9,2.5,10
1880,-2.4,1.6,2.7,7,11.9,15.7,20.8,21.4,17.9,12.1,3.3,-2.8,9.1
1881,-4.1,-2.1,-0.7,4.6,11.3,17.3,20.2,22.7,18.7,10.7,4.6,-1.1,8.5
1882,-1.3,0,0,7.1,10.6,16.6,20.7,21.2,17.7,11.2,4.9,-0.8,9
1883,-1.9,-1.6,0.6,7.3,10.8,16,20.5,21,18.1,13.2,5.5,-0.3,9.1
1884,-2.4,-2.1,1.6,6.7,10.5,16.3,20.4,20.4,19,11.6,2.6,-1.9,8.6
1885,-4,-2.4,-0.1,6.7,10.6,17.4,20,22,18.7,12.4,6.3,1.3,9.1
1886,-2,-2.6,2.1,8.5,12.6,17.1,21.5,22.5,20.6,13,6,-0.7,9.9
1887,-0.8,-0.1,1.4,7.6,11.2,17.1,20.6,22.2,17.7,12.6,7,0,9.7
1888,-2.2,-2.1,1.5,8.1,11.7,14.6,21.7,22.3,17.5,10.9,7.5,0.5,9.3
1889,-2.1,-1.6,2.1,8.2,11.3,17.3,20.6,22.3,17.3,10.8,5.4,0.5,9.3
1890,-1.1,1.4,5.2,9.7,12.1,18.4,20,22.8,20.8,12.3,6.2,4.7,11
1891,-2.6,-0.4,4.2,7.5,12.8,16.7,21.7,22,20.9,11.7,5.5,0.3,10
1892,-0.6,-0.4,0.8,8.1,12.1,18.4,22.4,22.5,19.8,13.2,5.5,-1.8,10
1893,-2.5,-1.7,0.9,8.5,11.3,16.8,21.1,22.7,18.7,12.1,5,-0.5,9.4
1894,-1.3,-1.3,4,9.5,11.3,19.7,23,23.4,19.1,12.2,7,0.7,10.6
1895,-2.5,-1.1,2.4,7.6,12.7,16.6,19.4,22.8,19.7,13.2,5.5,0.9,9.8
1896,-1.7,-0.4,1.5,9.4,12.6,18.1,21,22.5,19.2,12.5,6.1,0.3,10.1
1897,-0.3,-1,1.7,6.8,12.9,15.4,19.9,21.7,17.6,11.3,5.8,-1.5,9.2
1898,0,0.1,1.8,6.8,12,15.8,21.8,22.7,18.4,12.2,7.1,2.6,10.1
1899,-1.3,0.2,3.8,8.4,13.4,18,20.2,22.8,16.9,10.4,4,1.1,9.8
1900,-2.1,-1,1.1,7.5,12.8,15.2,19.7,22.6,19.3,12.6,6.7,0.9,9.6
1901,0.2,-1.3,2.1,9,12,17.4,19.3,21.6,18.9,13.2,5.5,-0.5,9.8
1902,-2.4,-1.2,3.6,6.4,12.1,16.3,18.8,20.2,19.6,12.7,7.7,3.8,9.8
1903,0.9,-0.2,4.2,8.7,11.7,15.8,20.3,21.6,18.9,12,4.7,-0.2,9.9
1904,-2.3,0.2,2.6,9.3,11.9,18.4,21.7,21.2,17.6,13.2,3.8,0.7,9.9
1905,0.1,-1.6,1.2,6.6,12.8,17.9,20.2,19.4,18.5,12.6,6,2.9,9.7
1906,-2.1,-0.5,2.7,7.9,11.9,15.2,20.9,21.1,16.7,11.5,5,0.8,9.3
1907,0,-1.8,1,7.6,12.5,15.8,19.6,23,18.4,11.2,7.8,-0.3,9.6
1908,-1.2,-1,2,7.7,11.8,17.6,19.1,22.3,16.5,12.4,3.9,0,9.3
1909,-1.4,-1.6,2.8,8.4,12.3,17.3,21,21.7,18.7,10.9,4.6,-0.4,9.5
1910,0.7,-1.9,1.1,7.9,12.6,17.3,20,21.2,18,13.2,5.9,-0.3,9.6
1911,-1.1,0.8,3.6,9.3,11.3,17.7,21.3,22.7,19.3,12.3,8.1,0.7,10.5
