vs,rikishi,win
霜鳥,朝青龍,1
雅山,朝青龍,1
旭鷲山,朝青龍,1
出島,朝青龍,1
旭天鵬,朝青龍,1
栃乃洋,朝青龍,1
琴光喜,朝青龍,1
玉乃島,朝青龍,1
安美錦,朝青龍,1
土佐ノ海,朝青龍,1
垣添,朝青龍,1
若の里,朝青龍,1
魁皇,朝青龍,1
武双山,朝青龍,1
千代大海,朝青龍,1
垣添,千代大海,1
出島,千代大海,1
旭天鵬,千代大海,1
雅山,千代大海,1
旭鷲山,千代大海,1
霜鳥,千代大海,1
玉乃島,千代大海,1
栃乃洋,千代大海,1
土佐ノ海,千代大海,1
安美錦,千代大海,1
若の里,千代大海,1
琴光喜,千代大海,1
朝赤龍,千代大海,1
魁皇,千代大海,0
朝青龍,千代大海,0
雅山,魁皇,1
垣添,魁皇,1
出島,魁皇,1
旭鷲山,魁皇,1
玉乃島,魁皇,1
旭天鵬,魁皇,1
若の里,魁皇,1
土佐ノ海,魁皇,1
霜鳥,魁皇,1
琴光喜,魁皇,1
栃乃洋,魁皇,1
朝赤龍,魁皇,0
朝青龍,魁皇,0
千代大海,魁皇,1
武双山,魁皇,1
旭鷲山,栃東,0
霜鳥,栃東,0
雅山,栃東,0
や,栃東,-1
や,栃東,-1
や,栃東,-1
や,栃東,-1
や,栃東,-1
や,栃東,-1
や,栃東,-1
や,栃東,-1
や,栃東,-1
や,栃東,-1
や,栃東,-1
や,栃東,-1
旭天鵬,武双山,0
旭鷲山,武双山,1
霜鳥,武双山,1
栃乃洋,武双山,1
安美錦,武双山,1
玉乃島,武双山,1
土佐ノ海,武双山,1
琴光喜,武双山,0
時津海,武双山,1
若の里,武双山,0
北勝力,武双山,1
岩木山,武双山,0
栃栄,武双山,1
朝青龍,武双山,0
魁皇,武双山,0
出島,若の里,1
栃乃洋,若の里,0
玉乃島,若の里,1
霜鳥,若の里,1
雅山,若の里,1
旭鷲山,若の里,0
魁皇,若の里,0
旭天鵬,若の里,0
垣添,若の里,0
武双山,若の里,1
千代大海,若の里,0
朝青龍,若の里,0
時津海,若の里,1
岩木山,若の里,1
朝赤龍,若の里,1
栃乃洋,琴光喜,1
旭天鵬,琴光喜,0
垣添,琴光喜,0
玉乃島,琴光喜,0
霜鳥,琴光喜,0
雅山,琴光喜,0
朝青龍,琴光喜,0
武双山,琴光喜,1
旭鷲山,琴光喜,1
魁皇,琴光喜,0
出島,琴光喜,1
千代大海,琴光喜,0
安美錦,琴光喜,1
土佐ノ海,琴光喜,1
岩木山,琴光喜,1
千代大海,垣添,0
魁皇,垣添,0
琴光喜,垣添,1
旭天鵬,垣添,0
栃乃洋,垣添,0
土佐ノ海,垣添,1
旭鷲山,垣添,1
霜鳥,垣添,0
若の里,垣添,1
玉乃島,垣添,0
朝青龍,垣添,0
安美錦,垣添,1
岩木山,垣添,0
時津海,垣添,0
十文字,垣添,1
朝青龍,霜鳥,0
栃東,霜鳥,1
武双山,霜鳥,0
若の里,霜鳥,0
琴光喜,霜鳥,1
千代大海,霜鳥,0
雅山,霜鳥,0
垣添,霜鳥,1
魁皇,霜鳥,0
旭鷲山,霜鳥,1
旭天鵬,霜鳥,0
出島,霜鳥,0
栃乃洋,霜鳥,1
玉乃島,霜鳥,1
土佐ノ海,霜鳥,0
魁皇,雅山,0
朝青龍,雅山,0
栃東,雅山,1
千代大海,雅山,0
若の里,雅山,0
琴光喜,雅山,1
霜鳥,雅山,1
安美錦,雅山,1
栃乃洋,雅山,1
旭天鵬,雅山,1
旭鷲山,雅山,1
玉乃島,雅山,1
北勝力,雅山,0
朝赤龍,雅山,0
高見盛,雅山,0
栃東,旭鷲山,1
武双山,旭鷲山,0
朝青龍,旭鷲山,0
魁皇,旭鷲山,0
千代大海,旭鷲山,0
若の里,旭鷲山,1
垣添,旭鷲山,0
出島,旭鷲山,0
琴光喜,旭鷲山,0
霜鳥,旭鷲山,0
雅山,旭鷲山,0
土佐ノ海,旭鷲山,0
十文字,旭鷲山,1
安美錦,旭鷲山,1
玉乃島,旭鷲山,0
若の里,出島,0
千代大海,出島,0
魁皇,出島,0
朝青龍,出島,0
土佐ノ海,出島,1
十文字,出島,1
旭天鵬,出島,1
旭鷲山,出島,1
岩木山,出島,1
栃乃洋,出島,0
琴光喜,出島,0
霜鳥,出島,1
玉乃島,出島,1
北勝力,出島,0
琴龍,出島,0
武双山,旭天鵬,1
琴光喜,旭天鵬,1
千代大海,旭天鵬,0
垣添,旭天鵬,1
朝青龍,旭天鵬,0
魁皇,旭天鵬,0
出島,旭天鵬,0
若の里,旭天鵬,1
十文字,旭天鵬,1
雅山,旭天鵬,0
霜鳥,旭天鵬,1
北勝力,旭天鵬,1
闘牙,旭天鵬,1
栃栄,旭天鵬,1
武雄山,旭天鵬,1
琴光喜,栃乃洋,0
若の里,栃乃洋,1
十文字,栃乃洋,1
武双山,栃乃洋,0
垣添,栃乃洋,1
朝青龍,栃乃洋,0
安美錦,栃乃洋,1
千代大海,栃乃洋,0
雅山,栃乃洋,0
出島,栃乃洋,1
魁皇,栃乃洋,0
黒海,栃乃洋,1
霜鳥,栃乃洋,0
高見盛,栃乃洋,1
貴ノ浪,栃乃洋,1
安美錦,玉乃島,1
岩木山,玉乃島,1
若の里,玉乃島,0
琴光喜,玉乃島,1
魁皇,玉乃島,0
武双山,玉乃島,0
千代大海,玉乃島,0
朝青龍,玉乃島,0
金開山,玉乃島,1
垣添,玉乃島,1
時津海,玉乃島,0
雅山,玉乃島,0
出島,玉乃島,0
霜鳥,玉乃島,0
旭鷲山,玉乃島,1
玉乃島,安美錦,0
十文字,安美錦,1
北勝力,安美錦,0
時津海,安美錦,1
武双山,安美錦,0
栃栄,安美錦,0
栃乃洋,安美錦,0
雅山,安美錦,0
朝青龍,安美錦,0
千代大海,安美錦,0
土佐ノ海,安美錦,0
垣添,安美錦,0
琴光喜,安美錦,0
旭鷲山,安美錦,0
金開山,安美錦,1
時津海,土佐ノ海,0
北勝力,土佐ノ海,0
金開山,土佐ノ海,0
岩木山,土佐ノ海,1
出島,土佐ノ海,0
垣添,土佐ノ海,0
武双山,土佐ノ海,0
魁皇,土佐ノ海,0
千代大海,土佐ノ海,0
朝青龍,土佐ノ海,0
安美錦,土佐ノ海,1
旭鷲山,土佐ノ海,1
貴ノ浪,土佐ノ海,1
琴光喜,土佐ノ海,0
霜鳥,土佐ノ海,1
土佐ノ海,時津海,1
高見盛,時津海,0
栃栄,時津海,0
安美錦,時津海,0
岩木山,時津海,1
貴ノ浪,時津海,1
北勝力,時津海,0
十文字,時津海,1
武双山,時津海,0
春ノ山,時津海,0
玉乃島,時津海,1
金開山,時津海,1
若の里,時津海,0
垣添,時津海,1
闘牙,時津海,1
北勝力,岩木山,1
玉乃島,岩木山,0
黒海,岩木山,0
土佐ノ海,岩木山,0
時津海,岩木山,0
高見盛,岩木山,1
十文字,岩木山,1
金開山,岩木山,1
出島,岩木山,0
栃栄,岩木山,1
貴ノ浪,岩木山,0
武双山,岩木山,1
垣添,岩木山,1
若の里,岩木山,0
琴光喜,岩木山,0
岩木山,北勝力,0
土佐ノ海,北勝力,1
安美錦,北勝力,1
栃栄,北勝力,1
十文字,北勝力,0
黒海,北勝力,1
時津海,北勝力,1
春日錦,北勝力,1
琴龍,北勝力,1
朝赤龍,北勝力,0
武双山,北勝力,0
旭天鵬,北勝力,0
雅山,北勝力,1
出島,北勝力,1
琴ノ若,北勝力,0
栃栄,十文字,0
安美錦,十文字,0
栃乃洋,十文字,0
金開山,十文字,0
北勝力,十文字,1
出島,十文字,0
岩木山,十文字,0
時津海,十文字,0
旭天鵬,十文字,0
朝乃若,十文字,1
高見盛,十文字,1
千代天山,十文字,1
旭鷲山,十文字,0
貴ノ浪,十文字,0
垣添,十文字,0
十文字,栃栄,1
黒海,栃栄,0
時津海,栃栄,1
北勝力,栃栄,0
琴龍,栃栄,1
安美錦,栃栄,1
高見盛,栃栄,0
貴ノ浪,栃栄,0
朝乃若,栃栄,1
岩木山,栃栄,0
金開山,栃栄,1
琴ノ若,栃栄,0
武双山,栃栄,0
旭天鵬,栃栄,0
千代天山,栃栄,1
高見盛,金開山,0
武雄山,金開山,0
土佐ノ海,金開山,1
十文字,金開山,1
貴ノ浪,金開山,1
春日錦,金開山,0
琴龍,金開山,0
岩木山,金開山,0
玉乃島,金開山,0
闘牙,金開山,0
栃栄,金開山,0
時津海,金開山,0
豊桜,金開山,0
よう司,金開山,1
安美錦,金開山,0
金開山,高見盛,1
時津海,高見盛,1
朝乃若,高見盛,1
春日錦,高見盛,1
豪風,高見盛,0
岩木山,高見盛,0
栃栄,高見盛,1
黒海,高見盛,0
貴ノ浪,高見盛,1
琴ノ若,高見盛,0
十文字,高見盛,0
武雄山,高見盛,1
普天王,高見盛,0
栃乃洋,高見盛,0
雅山,高見盛,1
武雄山,貴ノ浪,0
春日錦,貴ノ浪,0
豪風,貴ノ浪,0
黒海,貴ノ浪,0
金開山,貴ノ浪,0
時津海,貴ノ浪,0
朝乃若,貴ノ浪,1
栃栄,貴ノ浪,1
高見盛,貴ノ浪,0
千代天山,貴ノ浪,1
岩木山,貴ノ浪,1
潮丸,貴ノ浪,0
土佐ノ海,貴ノ浪,0
十文字,貴ノ浪,1
栃乃洋,貴ノ浪,0
貴ノ浪,武雄山,1
